tree_id,fractal_dim
3.1_12,1.82863760797547
3.1_13,1.94038666686034
3.1_14,1.66499956191348
3.1_15,1.93040529313141
3.1_16,1.88293964074227
3.1_17,1.8804132331578
3.1_18,1.8904911297774
3.1_1,1.90475829538062
3.1_20,1.8768166472998
3.1_22,1.91324782401743
3.1_23,2.01883072186472
3.1_24,1.9508266567766
3.1_29,1.92294511748169
3.1_2,1.8345860914569
3.1_30,1.97668318726024
3.1_32,1.65757908950977
3.1_33,1.83790764768649
3.1_34,1.78684631808672
3.1_35,1.87541671762094
3.1_37,1.86240544545449
3.1_38,2.07295443117059
3.1_3,1.8770826101126
3.1_42,1.95904276315157
3.1_44,1.61340466946585
3.1_46,1.94219556675441
3.1_48,1.80423846357971
3.1_49,1.71980590926525
3.1_50,2.04304499805436
3.1_53,1.86797655711038
3.1_55,1.80034571542206
3.1_56,1.97573420392808
3.1_59,2.00718548721106
3.1_5,1.99419569594493
3.1_60,1.86192371832349
3.1_61,1.89611243210335
3.1_62,1.78972152667996
3.1_63,1.86222259169523
3.1_68,1.77750904405326
3.1_69,1.60558443430175
3.1_6,1.94527636138472
3.1_70,1.82203190522618
3.1_71,1.86397268261691
3.1_72,2.03664261521393
3.1_73,1.65952559015676
3.1_77,1.93233180147221
3.1_78,1.86621858553725
3.1_79,1.87445656959003
3.1_7,1.95499571628065
3.1_80,1.8176199255011
3.1_81,1.94238121338953
3.1_8,1.81378374437983
3.1_9,1.8796453380645
3.2_15,1.89256616950734
3.2_16,1.98958002797012
3.2_174,1.87168394491813
3.2_175,1.56488729167708
3.2_17,1.85734177695978
3.2_18,1.81486607777136
3.2_19,1.75395321470526
3.2_1,1.83602803544654
3.2_20,2.00131103952366
3.2_22,1.9084419560324
3.2_24,1.85965527289052
3.2_25,1.82875660159632
3.2_26,1.8859482512118
3.2_27,1.9352758696474
3.2_2,1.86882897372761
3.2_30,1.72789743060189
3.2_31,1.72214921146882
3.2_35,2.00492904939623
3.2_36,1.83084930693415
3.2_37,1.89133669804151
3.2_38,1.87160522395551
3.2_39,1.8343053544585
3.2_3,1.90556430270552
3.2_40,1.84893997152344
3.2_45,2.04867241130883
3.2_48,1.7377886893562
3.2_49,1.86029494497269
3.2_4,1.81944567962874
3.2_50,1.96419716581395
3.2_58,1.90590106482577
3.2_59,1.84772239366788
3.2_60,1.92977192507641
3.2_61,1.75001472371637
3.2_62,1.70778379785846
3.2_63,1.84000036689284
3.2_66,1.8955967996686
3.2_67,1.92343644477572
3.2_68,1.80200635585937
3.2_86,2.0934710488215
3.2_90,1.93640101698113
3.2_91,1.89993196518964
3.2_92,1.97398076058077
3.2_93,1.83405529233255
3.2_96,1.95930319897293
3.3_10,1.90098426004009
3.3_11,1.94596513317024
3.3_12,1.80773169867222
3.3_13,1.62465983245224
3.3_14,1.9922652768203
3.3_15,1.84550720915639
3.3_16,1.95664988765808
3.3_17,1.84976441422978
3.3_18,1.1547694663651
3.3_19,1.71071883833165
3.3_1,1.86408435537424
3.3_20,2.07791073755959
3.3_21,1.93882376692347
3.3_25,1.94713866466455
3.3_26,1.82464563858529
3.3_27,1.65128813723007
3.3_28,1.81228014330951
3.3_29,1.68694575750975
3.3_2,1.94377554802233
3.3_31,1.70877785912511
3.3_32,1.86868521748513
3.3_34,1.92535565005433
3.3_35,1.78399058923442
3.3_36,1.8682999322213
3.3_37,1.75710470274392
3.3_38,1.94404471357141
3.3_39,1.78481118916009
3.3_3,1.98625194827013
3.3_41,1.79884747462523
3.3_43,2.0650249835679
3.3_46,1.96424337619657
3.3_47,1.8271363251427
3.3_48,1.76595678831485
3.3_49,1.85870594169752
3.3_4,1.87851310832394
3.3_50,1.65514466479179
3.3_51,1.84736726288011
3.3_52,1.81973141893088
3.3_53,1.8245718064232
3.3_54,1.84371089247273
3.3_55,1.7758600626081
3.3_57,1.84954304928304
3.3_60,1.88562813584812
3.3_61,1.85860470827682
3.3_68,1.76782845970177
3.3_69,1.84650332969264
3.3_6,2.03577941846818
3.3_70,1.88060027525119
3.3_71,1.70056481916185
3.3_73,1.94921009684003
3.3_74,1.81346605385778
3.3_77,1.75626587528123
3.3_79,1.7806026162964
3.3_7,1.87239723667349
3.3_80,1.70758518610482
3.3_81,1.82858445935773
3.3_82,1.80637338598493
3.3_83,1.82229674326732
3.3_84,1.91240124687827
3.3_85,1.83845769304899
3.3_86,1.95660934616636
3.3_8,1.77700321669347
3.3_9,1.79333641654713
3.4_100,1.8822226272442
3.4_101,1.953655695306
3.4_102,2.10969866506669
3.4_103,1.94833598999113
3.4_104,1.95565388675463
3.4_105,1.87347675660857
3.4_14,1.93138171321441
3.4_15,1.59010782217764
3.4_16,1.84013491907811
3.4_17,2.04567258354402
3.4_18,1.91635510716368
3.4_1,1.86754880110119
3.4_20,1.5532687300985
3.4_21,1.81265671785818
3.4_22,1.79754645169028
3.4_23,1.79056017284355
3.4_24,1.90293633947153
3.4_27,1.78387276620134
3.4_28,1.75985663702992
3.4_29,1.63084736690469
3.4_30,1.99426506535464
3.4_31,2.06962052767329
3.4_32,1.55436733303823
3.4_33,1.6014664291095
3.4_34,1.75594177772794
3.4_35,1.91743317129165
3.4_36,1.97034607930768
3.4_38,1.98964470665029
3.4_39,1.8692274414097
3.4_40,1.95355696302546
3.4_41,1.9916921277979
3.4_42,1.887118534058
3.4_60,1.76069853463479
3.4_61,2.01952471858722
3.4_62,1.95250958636467
3.4_63,1.80603092771079
3.4_64,1.75063014285559
3.4_66,1.9239773197667
3.4_67,1.9756163367294
3.4_68,1.95112988636523
3.4_69,1.87136506100685
3.4_70,1.90093224531266
3.4_72,1.9576226372039
3.4_73,1.66094981034566
3.4_74,2.06028367375321
3.4_75,1.84004658267993
3.4_99,1.87153495783897
3.5b_102,1.90084446834785
3.5b_103,1.75262077292255
3.5b_105,1.70259025202201
3.5b_106,1.82657495509295
3.5b_107,1.69373117802024
3.5b_108,1.86041120186726
3.5b_10,2.01993303902071
3.5b_118,1.90709079772779
3.5b_119,1.89105357169145
3.5b_11,1.76863107880773
3.5b_120,1.84883957025947
3.5b_121,1.49842098814443
3.5b_122,1.84656343064408
3.5b_123,1.81331468922298
3.5b_124,1.76080812682888
3.5b_125,1.93127274290138
3.5b_126,1.75149565153313
3.5b_127,1.82314091787631
3.5b_128,1.6880495531024
3.5b_12,1.6834083472635
3.5b_138,1.91259407163486
3.5b_139,1.82305545142922
3.5b_13,1.89344151587884
3.5b_140,1.86204038364333
3.5b_141,1.8245530754349
3.5b_142,1.65690444744402
3.5b_143,1.87563747007168
3.5b_144,1.87927758147537
3.5b_145,1.79383687587978
3.5b_146,1.9395185047087
3.5b_147,1.66057295935352
3.5b_148,2.06819612443351
3.5b_149,1.80987693706886
3.5b_151,1.72934431535804
3.5b_152,1.55942992791173
3.5b_153,1.60639463732657
3.5b_154,1.94552907433233
3.5b_16,1.90597661461571
3.5b_170,1.87011190735881
3.5b_173,1.81550202538448
3.5b_174,1.8821202563828
3.5b_175,1.85445950413634
3.5b_176,1.91695996558625
3.5b_177,1.69092381291862
3.5b_178,1.83179472681131
3.5b_180,1.88285173396419
3.5b_181,1.86064737306592
3.5b_182,1.91126041180848
3.5b_183,1.70509351632366
3.5b_186,1.70283880423532
3.5b_187,1.78246301730872
3.5b_188,1.81861641860696
3.5b_198,1.99363315236072
3.5b_199,2.0389115041846
3.5b_1,1.95164598073839
3.5b_200,1.8230399313295
3.5b_201,1.97372840706282
3.5b_202,1.87145811623988
3.5b_203,1.96850973539328
3.5b_204,1.81004182544835
3.5b_206,1.76604428872367
3.5b_21,1.7984265468876
3.5b_22,1.98022314933496
3.5b_23,1.93097370931181
3.5b_24,1.65920073522837
3.5b_25,1.80719860303189
3.5b_26,1.8096646155705
3.5b_27,1.79209798293624
3.5b_28,1.95425487936822
3.5b_29,2.00939075270487
3.5b_2,1.80318160346026
3.5b_30,1.91806787223977
3.5b_31,1.75179687141826
3.5b_32,1.7531990301032
3.5b_33,1.82645952931985
3.5b_34,1.96505049225047
3.5b_35,1.94534305681708
3.5b_36,1.74636226905202
3.5b_37,1.85506537207375
3.5b_38,1.80263211425575
3.5b_39,1.86194296749595
3.5b_3,1.71335526997558
3.5b_40,1.73871978258413
3.5b_41,1.71291831422995
3.5b_42,1.60238642907146
3.5b_43,1.81199338938503
3.5b_49,1.97674459277793
3.5b_4,1.87205319066227
3.5b_5,1.57863634381627
3.5b_62,1.89910720160489
3.5b_63,1.89445803877601
3.5b_65,1.82264405745514
3.5b_66,1.90159088031379
3.5b_67,1.92755935667476
3.5b_68,1.91988143386149
3.5b_69,1.89537096104954
3.5b_6,1.87121232847035
3.5b_70,1.75359520434936
3.5b_7,1.94334863602932
3.5b_8,1.96643236185945
3.5b_92,1.93120584178482
3.5b_9,1.59548349263197
4.1_100,1.98450535943824
4.1_101,1.92869877095378
4.1_103,2.00731959331064
4.1_104,1.81127518031357
4.1_105,1.83698720680599
4.1_106,1.77203337033241
4.1_107,1.91801054716712
4.1_111,1.79609068878827
4.1_112,1.87668663505098
4.1_114,1.90131993245088
4.1_115,1.97292539167912
4.1_117,1.85555169648557
4.1_118,1.84481069231633
4.1_11,2.0328074736684
4.1_120,1.50064555770768
4.1_121,1.92367044092114
4.1_122,1.87946251209849
4.1_14,1.93478721094624
4.1_1,1.85667140135905
4.1_20,1.89875188210334
4.1_21,2.07482340293184
4.1_22,1.7928452122706
4.1_30,1.8011687874847
4.1_32,1.8869375518354
4.1_33,1.61597984307319
4.1_36,1.82857099501921
4.1_37,1.93014489086531
4.1_38,1.97091585191797
4.1_39,2.01974000474123
4.1_3,1.8089817001835
4.1_42,2.00220240236467
4.1_43,1.49529452075759
4.1_44,1.81801357781537
4.1_45,1.94023310910693
4.1_46,1.945725096551
4.1_47,2.01650978953704
4.1_48,1.87434246349832
4.1_4,2.0746017583213
4.1_53,1.82528051471416
4.1_54,1.75480842786492
4.1_55,1.74712926437085
4.1_58,1.72937010644624
4.1_5,1.89007289610939
4.1_60,1.91313326235667
4.1_61,1.9330250169161
4.1_64,2.02572644635232
4.1_65,1.96102121440594
4.1_68,1.64471675617891
4.1_6,2.04653619732149
4.1_70,1.90401209457752
4.1_71,1.87566651568906
4.1_72,1.74471912346849
4.1_73,2.0276374163533
4.1_74,1.96094949396984
4.1_75,1.87802522585469
4.1_76,1.88979090803744
4.1_7,1.89706434555558
4.1_84,1.74151165110462
4.1_85,1.70395143644047
4.1_86,1.69781731919479
4.1_87,1.86903465711046
4.1_88,2.03461509866526
4.1_89,1.90382130927433
4.1_90,1.95408377217795
4.1_91,1.94607620868692
4.1_93,2.00741264131098
4.1_94,1.93402788321584
4.2b_10,1.73818070700893
4.2b_11,1.97298254654435
4.2b_12,1.95776440129677
4.2b_13,1.74039728129339
4.2b_14,1.98637633354091
4.2b_15,1.91610514332043
4.2b_16,1.72114741896099
4.2b_17,1.80892138686557
4.2b_18,1.90810961967906
4.2b_1,1.90506344569981
4.2b_20,1.93569543875773
4.2b_21,1.80629561196476
4.2b_22,1.80495911889586
4.2b_23,1.83978811416922
